Unnamed: 0,title,year,genres,rating,plot,cast,director,countries,translated_plot,genres_vn,country_vn
10,An American Tail,1986,"['Animation', 'Adventure', 'Comedy', 'Drama', 'Family', 'Musical']",6.9,"While emigrating to the United States, a young Russian mouse gets separated from his family and must locate them while trying to survive in a new country.","['Erica Yohn', 'Nehemiah Persoff', 'Amy Green', 'Phillip Glasser', 'Christopher Plummer']",['Don Bluth'],['United States'],"Khi di cư sang Hoa Kỳ, một con chuột Nga trẻ tuổi bị rời rạc từ gia đình của mình và phải tìm kiếm họ trong khi cố gắng sống sót trong một đất nước mới.","['Hoạt hình', 'Phiêu lưu', 'Hài', 'Chính kịch', 'Gia đình', 'Nhạc kịch']",['Hoa Kỳ']
11,The Kentucky Fried Movie,1977,['Comedy'],6.4,The daily programming of a fictional local TV channel presented as a series of highly irreverent skits.,"['Marilyn Joi', 'Saul Kahan', 'David Zucker', 'Marcy Goldman', 'Dulcie Jordan']",['John Landis'],['United States'],Lịch trình hàng ngày của một kênh truyền hình địa phương giả lập được thể hiện qua các phân cảnh hài hước mạnh mẽ và bất chợt.,['Hài'],['Hoa Kỳ']
12,Shaft,1971,"['Action', 'Crime', 'Thriller']",6.6,"A crime lord hires black private eye, John Shaft, to find and retrieve his kidnapped daughter.","['Richard Roundtree', 'Moses Gunn', 'Charles Cioffi', 'Christopher St. John', 'Gwenn Mitchell']",['Gordon Parks'],['United States'],Một chủ tội phạm đã thuê một điệp viên đen tư nhân tên là John Shaft để tìm kiếm và trả lại con gái bị bắt cóc của mình.,"['Hành động', 'Tội phạm', 'Giật gân']",['Hoa Kỳ']
13,Buddy,1997,"['Adventure', 'Comedy', 'Drama', 'Family']",4.8,"A depiction of the true life story of Gertrude Lintz, an eccentric 1920's socialite who tries to raise a gorilla, like many chimps before him, as part of her family.","['Rene Russo', 'Robbie Coltrane', 'Alan Cumming', 'Irma P. Hall', 'Peter Elliott']",['Caroline Thompson'],['United States'],"Phim kể lại câu chuyện thật sự về Gertrude Lintz, một người phụ nữ xã hội kỳ lạ trong thập niên 20, bà cố gắng nuôi dưỡng một con khỉ bạo lực như nhiều chú tinh tinh trước đó đã từng là thành viên trong gia đình của bà.","['Phiêu lưu', 'Hài', 'Chính kịch', 'Gia đình']",['Hoa Kỳ']
14,Selena,1997,"['Biography', 'Drama', 'Music']",6.9,"The true story of Selena, a Texas-born Tejana singer who rose from cult status to performing at the Astrodome, as well as having chart-topping albums on the Latin music charts.","['Jennifer Lopez', 'Jackie Guerra', 'Constance Marie', 'Alex Meneses', 'Jon Seda']",['Gregory Nava'],['United States'],"Câu chuyện thực sự về Selena, ca sĩ người Mỹ gốc Tejano sinh ở bang Texas, người đã nổi lên từ vị thế của một nhân vật nổi tiếng đến biểu diễn tại sân vận động Astrodome và cũng có những album dẫn đầu bảng xếp hạng trên các bảng xếp hạng nhạc Latinh.","['Tiểu sử', 'Chính kịch', 'Âm nhạc']",['Hoa Kỳ']
15,Antonia's Line,1995,"['Comedy', 'Drama']",7.4,"A Dutch matron establishes and, for several generations, oversees a close-knit, matriarchal community where feminism and liberalism thrive.","['Willeke van Ammelrooy', 'Els Dottermans', 'Dora van der Groen', 'Veerle van Overloop', 'Esther Vriesendorp']",['Marleen Gorris'],"['Netherlands', 'Belgium', 'United Kingdom', 'France']",Một người phụ nữ Hà Lan lập ra và quản lý cộng đồng chắt chẽ với tư cách của một matriarch trong nhiều thế hệ nơi chủ nghĩa phụ quyền và chủ nghĩa tự do thịnh hành.,"['Hài', 'Chính kịch']","['Hà Lan', 'Bỉ', 'Vương quốc Anh', 'Pháp']"
16,Boogie Nights,1997,['Drama'],7.9,An idealistic porn producer aspires to elevate his craft to an art when he discovers a hot young talent.,"['Luis Guzmán', 'Burt Reynolds', 'Julianne Moore', 'Rico Bueno', 'John C. Reilly']",['Paul Thomas Anderson'],['United States'],Một nhà sản xuất phim lậu lý tưởng muốn nâng cao kỹ năng của mình lên mức nghệ thuật khi anh phát hiện một tài năng trẻ nóng bỏng.,['Chính kịch'],['Hoa Kỳ']
17,A Price Above Rubies,1998,"['Drama', 'Romance']",6.5,This movie is about a young woman who is married to a devout Jew and the problems that trouble their marriage because of her wanting something more out of her life.,"['Renée Zellweger', 'Christopher Eccleston', 'Julianna Margulies', 'Allen Payne', 'Glenn Fitzgerald']",['Boaz Yakin'],"['United Kingdom', 'United States']",Phim này nói về một phụ nữ trẻ đã kết hôn với một người Do Thái devot và các vấn đề đó gây khó khăn cho cuộc hôn nhân của họ vì cô ấy muốn có thêm điều gì đó trong cuộc sống mình.,"['Chính kịch', 'Lãng mạn']","['Vương quốc Anh', 'Hoa Kỳ']"
18,Squanto: A Warrior's Tale,1994,"['Adventure', 'Biography', 'Drama', 'Family']",6.1,"Fictional chronicle of Squanto's life prior to and including the arrival of the ""Mayflower"" in 1620.","['Adam Beach', 'Sheldon Peters Wolfchild', 'Irene Bedard', 'Eric Schweig', 'Leroy Peltier']",['Xavier Koller'],"['United States', 'Canada']","Tựa đề giả tưởng về cuộc đời của Squanto trước và bao gồm sự xuất hiện của con tàu ""Mayflower"" vào năm 1620.","['Phiêu lưu', 'Tiểu sử', 'Chính kịch', 'Gia đình']","['Hoa Kỳ', 'Canada']"
19,The Big Chill,1983,"['Comedy', 'Drama']",7.1,A group of seven former college friends gather for a weekend reunion at a South Carolina vacation home after the funeral of another of their college friends.,"['Tom Berenger', 'Glenn Close', 'Jeff Goldblum', 'William Hurt', 'Kevin Kline']",['Lawrence Kasdan'],['United States'],Một nhóm bảy người bạn học đại học cũ cùng nhau tụ họp vào cuối tuần tại một ngôi nhà nghỉ dưỡng ở tiểu bang Nam Carolina sau tang lễ của một trong những người bạn học cũ khác của họ.,"['Hài', 'Chính kịch']",['Hoa Kỳ']
20,Junior,1994,"['Comedy', 'Romance', 'Sci-Fi']",4.7,"As part of a fertility research project, a male scientist agrees to carry a pregnancy in his own body.","['Arnold Schwarzenegger', 'Danny DeVito', 'Emma Thompson', 'Frank Langella', 'Pamela Reed']",['Ivan Reitman'],['United States'],"Là một phần của dự án nghiên cứu sinh sản, một nhà khoa học nam đồng ý mang thai trong cơ thể mình.","['Hài', 'Lãng mạn', 'Khoa học viễn tưởng']",['Hoa Kỳ']
21,First Kid,1996,"['Comedy', 'Family']",5.2,"A former boxer turned Secret Service agent is assigned to protect the President's son, who seems determined to make life difficult for his new protector.","['Sinbad', 'Brock Pierce', 'Blake Boyd', 'Timothy Busfield', 'Art LaFleur']",['David Mickey Evans'],['United States'],"Một cựu võ sĩ chuyển đổi thành một viên đặc vụ An ninh Bí mật được giao nhiệm vụ bảo vệ con trai của Tổng thống, người dường như quyết tâm gây khó khăn cho người bảo vệ mới của mình.","['Hài', 'Gia đình']",['Hoa Kỳ']
22,Condorman,1981,"['Action', 'Adventure', 'Comedy', 'Drama', 'Family', 'Romance']",5.7,Cartoonist Woody becomes the superhero he draws. Using his gadgets he helps a Soviet spy defect to the West.,"['Michael Crawford', 'Oliver Reed', 'Barbara Carrera', 'James Hampton', 'Jean-Pierre Kalfon']",['Charles Jarrott'],"['United States', 'United Kingdom']","Nhà viết truyện tranh Woody biến thành siêu anh hùng mà mình vẽ. Sử dụng các thiết bị của mình, ông giúp một điệp viên Xô Viết đào thoát sang Tây.","['Hành động', 'Phiêu lưu', 'Hài', 'Chính kịch', 'Gia đình', 'Lãng mạn']","['Hoa Kỳ', 'Vương quốc Anh']"
23,The Money Pit,1986,['Comedy'],6.4,A young couple struggles to repair a hopelessly dilapidated house.,"['Tom Hanks', 'Shelley Long', 'Alexander Godunov', 'Maureen Stapleton', 'Joe Mantegna']",['Richard Benjamin'],['United States'],Một cặp đôi trẻ gặp khó khăn để sửa chữa một ngôi nhà bị hư hỏng không thể sửa chữa.,['Hài'],['Hoa Kỳ']
24,The Object of My Affection,1998,"['Comedy', 'Drama', 'Romance']",6.0,"A pregnant New York City social worker begins to develop romantic feelings for her gay best friend, and decides she'd rather raise her child with him, much to the dismay of her overbearing boyfriend.","['Paul Rudd', 'Kali Rocha', 'Jennifer Aniston', 'Lena Cardwell', 'Natalie B. Kikkenborg']",['Nicholas Hytner'],['United States'],"Người làm việc xã hội thành phố New York đang mang thai bắt đầu phát triển những tình cảm lãng mạn đối với người bạn đồng tính yêu quý của mình, và quyết định cô sẽ muốn chăm sóc con mình cùng anh ta, gây bất bình cho chàng trai yêu cô quá mức.","['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
25,The Razor's Edge,1984,"['Drama', 'Romance', 'War']",6.4,He had everything and wanted nothing. He learned that he had nothing and wanted everything. He saved the world and then it shattered. The path to enlightenment is as sharp and narrow as a razor's edge.,"['Bill Murray', 'Theresa Russell', 'Catherine Hicks', 'Denholm Elliott', 'James Keach']",['John Byrum'],"['United States', 'United Kingdom']",Anh ta có tất cả và không muốn gì hết. Anh ấy học được rằng anh ấy không có gì và mong muốn mọi thứ. Anh ta cứu thế giới và sau đó nó tan vỡ. Đường đến giác ngộ giống như lưỡi dao nhọn và hẹp.,"['Chính kịch', 'Lãng mạn', 'Chiến tranh']","['Hoa Kỳ', 'Vương quốc Anh']"
26,One Eight Seven,1997,"['Drama', 'Thriller']",6.6,"15 months after being stabbed 9 times by a student at work as a high school teacher in NYC, Mr. Garfield is working in LA as a substitute teacher come full-time. He refuses to be a victim anymore.","['Samuel L. Jackson', 'John Heard', 'Kelly Rowan', 'Clifton Collins Jr.', 'Tony Plana']",['Kevin Reynolds'],['United States'],"Sau khi bị một sinh viên xé lộn ở New York 15 tháng trước, ông Garfield đã bắt đầu làm việc tại Los Angeles với tư cách giáo viên dự phòng và sau đó trở thành giáo viên toàn thời gian. Ông từ chối tiếp tục là nạn nhân nữa.","['Chính kịch', 'Giật gân']",['Hoa Kỳ']
27,Breaking the Waves,1996,['Drama'],7.8,"Oilman Jan is paralyzed in an accident. His wife, who prayed for his return, feels guilty; even more, when Jan urges her to have sex with another.","['Emily Watson', 'Stellan Skarsgård', 'Katrin Cartlidge', 'Jean-Marc Barr', 'Adrian Rawlins']",['Lars von Trier'],"['Denmark', 'Sweden', 'France', 'Netherlands', 'Norway', 'Iceland', 'United Kingdom', 'Finland', 'Italy', 'Belgium', 'Germany', 'Switzerland', 'United States']","Người nhà có dầu mỏ Jan bị liệt sau một tai nạn. Vợ ông cảm thấy tội lỗi khi bà cầu nguyện cho sự trở về của mình, và thậm chí còn nhiều hơn khi Jan khích lệ bà đi ngủ với người khác.",['Chính kịch'],"['Đan Mạch', 'Thụy Điển', 'Pháp', 'Hà Lan', 'Na Uy', 'Iceland', 'Vương quốc Anh', 'Phần Lan', 'Ý', 'Bỉ', 'Đức', 'Thụy Sĩ', 'Hoa Kỳ']"
28,The Great Muppet Caper,1981,"['Adventure', 'Comedy', 'Crime', 'Family', 'Musical', 'Mystery']",7.1,"Kermit the Frog, The Great Gonzo, and Fozzie Bear are reporters who travel to Britain to interview a rich victim of jewel thieves and help her along with her secretary, Miss Piggy.","['Jim Henson', 'Frank Oz', 'Dave Goelz', 'Jerry Nelson', 'Richard Hunt']",['Jim Henson'],"['United Kingdom', 'United States']","Kermit the Frog, The Great Gonzo và Fozzie Bear là những nhà báo đi đến Anh để phỏng vấn một nạn nhân giàu có bị trộm cướp tiền đồat và giúp đỡ bà cùng thư ký, Thư ký Piggy.","['Phiêu lưu', 'Hài', 'Tội phạm', 'Gia đình', 'Nhạc kịch', 'Bí ẩn']","['Vương quốc Anh', 'Hoa Kỳ']"
29,Barry Lyndon,1975,"['Adventure', 'Drama', 'War']",8.1,An Irish rogue wins the heart of a rich widow and assumes her dead husband's aristocratic position in 18th-century England.,"[""Ryan O'Neal"", 'Marisa Berenson', 'Patrick Magee', 'Hardy Krüger', 'Steven Berkoff']",['Stanley Kubrick'],"['United Kingdom', 'United States']",Một người Ireland không ngoan động đoạt được tình yêu của một quý bà giàu có và giả vờ trở thành vị trí quý tộc của chồng cô đã chết ở Anh thế kỷ 18.,"['Phiêu lưu', 'Chính kịch', 'Chiến tranh']","['Vương quốc Anh', 'Hoa Kỳ']"
30,Kundun,1997,"['Biography', 'Drama', 'History', 'War']",7.0,"From childhood to adulthood, Tibet's fourteenth Dalai Lama deals with Chinese oppression and other problems.","['Tenzin Thuthob Tsarong', 'Gyurme Tethong', 'Tulku Jamyang Kunga Tenzin', 'Tenzin Yeshi Paichang', 'Tencho Gyalpo']",['Martin Scorsese'],"['Monaco', 'United States', 'Morocco']","Từ thời thơ ấu đến tuổi vị thành niên, vị thứ mười bốn của Dalai Lama Tibet đấu tranh chống lại sự áp bức của Trung Quốc và những vấn đề khác.","['Tiểu sử', 'Chính kịch', 'Lịch sử', 'Chiến tranh']","['Monaco', 'Hoa Kỳ', 'Ma-rốc']"
31,Class Reunion,1982,"['Comedy', 'Horror']",4.6,"It's been 10 years since Lizzie Borden High School's class of '72 graduated, and the preppies, the hippies and the in-crowd have returned to reminisce over good times past. Classmate Walter Baylor has returned too, but with a vengeance.","['Gerrit Graham', 'Michael Lerner', 'Fred McCarren', 'Miriam Flynn', 'Stephen Furst']",['Michael Miller'],['United States'],"Đã qua 10 năm kể từ khi lớp học của Lizzie Borden High School vào năm 1972 tốt nghiệp, và các thành phần cao cấp, hippie và nhóm trong giới đã trở lại để nhớ về những kỷ niệm tốt đẹp quá khứ. Lớp bạn Walter Baylor cũng đã trở lại nhưng với sự báo thù.","['Hài', 'Kinh dị']",['Hoa Kỳ']
32,What About Bob?,1991,['Comedy'],7.0,"A successful psychotherapist loses his mind after one of his most dependent patients, an obsessive-compulsive neurotic, tracks him down during his family vacation.","['Bill Murray', 'Richard Dreyfuss', 'Julie Hagerty', 'Charlie Korsmo', 'Kathryn Erbe']",['Frank Oz'],['United States'],"Một nhà tâm lý trị thành công mất trí mạng sau khi một trong những bệnh nhân phụ thuộc của mình, một người mắc chứng lo âu ám ảnh, theo dõi anh ta trong chuyến du lịch gia đình.",['Hài'],['Hoa Kỳ']
33,The Killing Fields,1984,"['Biography', 'Drama', 'History', 'War']",7.8,A journalist is trapped in Cambodia during Pol Pot's bloody Year Zero cleansing campaign.,"['Sam Waterston', 'Haing S. Ngor', 'John Malkovich', 'Julian Sands', 'Craig T. Nelson']",['Roland Joffé'],['United Kingdom'],"Một nhà báo bị mắc kẹt tại Campuchia trong cuộc chiến dịch tàn bạo của Năm Ngoại ""Zero"" dưới sự lãnh đạo của Pol Pot.","['Tiểu sử', 'Chính kịch', 'Lịch sử', 'Chiến tranh']",['Vương quốc Anh']
34,Bulworth,1998,"['Comedy', 'Drama', 'Romance']",6.8,A suicidally disillusioned liberal politician puts a contract out on himself and takes the opportunity to be bluntly honest with his voters by affecting the rhythms and speech of hip-hop music and culture.,"['Kimberly Deauna Adams', 'Vinny Argiro', 'Sean Astin', 'Kirk Baltz', 'Ernie Lee Banks']",['Warren Beatty'],['United States'],Một chính trị gia libeal đã chán nản đến mức tự sát muốn đặt một hợp đồng trên mình và sử dụng cơ hội này để thẳng thắn với cử tri bằng cách ảnh hưởng đến nhịp điệu và ngôn ngữ của âm nhạc và văn hóa hip-hop.,"['Hài', 'Chính kịch', 'Lãng mạn']",['Hoa Kỳ']
35,The Ghost and the Darkness,1996,"['Adventure', 'Drama', 'Thriller']",6.8,A bridge engineer and an experienced old hunter begin a hunt for two lions after they start attacking local construction workers.,"['Michael Douglas', 'Val Kilmer', 'Tom Wilkinson', 'John Kani', 'Bernard Hill']",['Stephen Hopkins'],"['United States', 'Germany']",Một kỹ sư cầu và một người săn cũ giàu kinh nghiệm bắt đầu tìm kiếm hai con sư tử sau khi chúng bắt đầu tấn công các nhân viên xây dựng địa phương.,"['Phiêu lưu', 'Chính kịch', 'Giật gân']","['Hoa Kỳ', 'Đức']"
36,The 13th Warrior,1999,"['Action', 'Adventure', 'History']",6.6,"A man, having fallen in love with the wrong woman, is sent by the sultan himself on a diplomatic mission to a distant land as an ambassador. Stopping at a Viking village port to restock on supplies, he finds himself unwittingly embroiled in a quest to banish a mysterious threat in a distant Viking land.","['Antonio Banderas', 'Diane Venora', 'Dennis Storhøi', 'Vladimir Kulich', 'Omar Sharif']",['John McTiernan'],['United States'],"Một người đàn ông đã rơi vào tình yêu với một phụ nữ sai lầm và được sultan cử đi trên một sứ mệnh ngoại giao đến một đất nước xa xôi làm đại sứ.  Ngừng tại một cảng làng Viking để tiêu thụ các mặt hàng tồn kho, anh ta tìm thấy mình vô tình bị bóp méo trong một nhiệm vụ thám hiểm để đẩy lùi mối đe dọa bí ẩn trong một vùng đất Viking xa xôi.","['Hành động', 'Phiêu lưu', 'Lịch sử']",['Hoa Kỳ']
37,From Dusk Till Dawn,1996,"['Action', 'Crime', 'Horror']",7.2,"Two criminals and their hostages unknowingly seek temporary refuge in a truck stop populated by vampires, with chaotic results.","['George Clooney', 'Quentin Tarantino', 'Harvey Keitel', 'Juliette Lewis', 'Ernest Liu']",['Robert Rodriguez'],"['United States', 'Mexico']","Hai kẻ trộm và con tin bị giam giữ vô tình tìm được nơi ẩn náu tạm thời tại một nhà xe đông dân cư với những người vampire, dẫn đến những hậu quả hỗn loạn.","['Hành động', 'Tội phạm', 'Kinh dị']","['Hoa Kỳ', 'Mexico']"
38,One True Thing,1998,['Drama'],6.9,A career woman reassesses her parents' lives after she is forced to care for her cancer-stricken mother.,"['Meryl Streep', 'Renée Zellweger', 'William Hurt', 'Tom Everett Scott', 'Lauren Graham']",['Carl Franklin'],['United States'],Một phụ nữ có sự nghiệp đã tái đánh giá cuộc sống của cha mẹ cô sau khi bị buộc phải chăm sóc mẹ mình bị ung thư.,['Chính kịch'],['Hoa Kỳ']
39,Rocky II,1979,"['Drama', 'Sport']",7.3,"Rocky struggles in family life after his bout with Apollo Creed, while the embarrassed champ insistently goads him to accept a challenge for a rematch.","['Sylvester Stallone', 'Talia Shire', 'Burt Young', 'Carl Weathers', 'Burgess Meredith']",['Sylvester Stallone'],['United States'],"Rocky gặp khó khăn trong cuộc sống gia đình sau trận chiến với Apollo Creed, trong khi nhà vô địch đỏ rán liên tục kích động anh ta để chấp nhận một thách thức cho một trận tái đấu.","['Chính kịch', 'Thể thao']",['Hoa Kỳ']
40,Jacob's Ladder,1990,"['Drama', 'Horror', 'Mystery']",7.4,"Mourning his dead son, a haunted Vietnam War veteran attempts to uncover his past while suffering from a severe case of dissociation. To do so, he must decipher reality and life from his own dreams, delusions, and perceptions of death.","['Tim Robbins', 'Elizabeth Peña', 'Danny Aiello', 'Matt Craven', 'Pruitt Taylor Vince']",['Adrian Lyne'],['United States'],"Một cựu quân nhân Việt Nam tham chiến đau khổ vì cái chết của con trai mình đang cố gắng phơi bày quá khứ của mình trong khi bị ảnh hưởng bởi một trường hợp nghiêm trọng về mất trí nhớ. Để thực hiện như vậy, anh ta phải giải mã sự thật và cuộc sống từ giấc mơ, delusions và nhận thức về cái chết của chính mình.","['Chính kịch', 'Kinh dị', 'Bí ẩn']",['Hoa Kỳ']
41,Only You,1994,"['Comedy', 'Romance']",6.5,"As a teen, Faith was told that her destiny is a man named Damon Bradley. Years later, when she's about to marry someone else, a Damon Bradley calls to wish them well, and Faith blows off her wedding to follow Damon to Italy.","['Marisa Tomei', 'Robert Downey Jr.', 'Bonnie Hunt', 'Joaquim de Almeida', 'Fisher Stevens']",['Norman Jewison'],"['United States', 'Italy']","Là một thiếu niên, Tiệp được nói rằng số phận của cô là một người đàn ông tên Đamôn Braxton.  Năm sau đó, khi cô sắp lấy chồng khác, một người đàn ông tên Đamôn gọi điện để chúc họ may mắn và Tiệp đã bỏ cưới để theo dõi Damon đến Ý.","['Hài', 'Lãng mạn']","['Hoa Kỳ', 'Ý']"
42,Misery,1990,"['Drama', 'Thriller']",7.8,"After a famous author is rescued from a car crash by a fan of his novels, he comes to realize that the care he is receiving is only the beginning of a nightmare of captivity and abuse.","['James Caan', 'Kathy Bates', 'Richard Farnsworth', 'Frances Sternhagen', 'Lauren Bacall']",['Rob Reiner'],['United States'],"Sau khi một nhà văn nổi tiếng được cứu từ vụ tai nạn xe hơi bởi một người hâm mộ các tiểu thuyết của mình, anh ta nhận ra rằng sự chăm sóc anh đang nhận lại chỉ là khởi đầu của một ác mộng về tình thần giam giữ và lạm dụng.","['Chính kịch', 'Giật gân']",['Hoa Kỳ']
43,Rear Window,1954,"['Drama', 'Mystery', 'Thriller']",8.5,A bored photographer recovering from a broken leg passes the time by watching his neighbors and begins to suspect one of them of murder.,"['James Stewart', 'Grace Kelly', 'Wendell Corey', 'Thelma Ritter', 'Raymond Burr']",['Alfred Hitchcock'],['United States'],Một nhiếp ảnh gia buồn chán đang hồi phục từ chân gãy của mình trôi qua thời gian bằng cách xem những người hàng xóm và bắt đầu nghi ngờ một trong số họ là tội phạm giết người.,"['Chính kịch', 'Bí ẩn', 'Giật gân']",['Hoa Kỳ']
44,Exotica,1994,['Drama'],7.0,"A man plagued by neuroses frequents the club Exotica in an attempt to find solace, but even there his past is never far away.","['David Hemblen', 'Calvin Green', 'Don McKellar', 'Peter Krantz', 'Mia Kirshner']",['Atom Egoyan'],['Canada'],Một người đàn ông bị ám ảnh bởi rối loạn tâm thần thường xuyên đến câu lạc bộ Exotica trong một nỗ lực để tìm được sự thoải mái nhưng ngay cả ở đó quá khứ của anh ta cũng không bao giờ xa lánh.,['Chính kịch'],['Canada']
45,In the Realm of the Senses,1976,"['Drama', 'Romance']",6.6,"A fictionalized retelling of the story of Sada Abe, whose affair with her master quickly turned obsessive and sadomasochistic.","['Tatsuya Fuji', 'Eiko Matsuda', 'Aoi Nakajima', 'Yasuko Matsui', 'Meika Seri']",['Nagisa Ôshima'],"['Japan', 'France']","Một phiên bản tái hiện lại câu chuyện của Sada Abe, người có mối quan hệ tình cảm với thầy cô nhanh chóng biến thành quyến rũ và đau khổ tự nguyện.","['Chính kịch', 'Lãng mạn']","['Nhật Bản', 'Pháp']"
